Date,Buy Close Sell Open - Profit
1/1/2015,6.18
1/2/2015,-0.95
1/3/2015,33.77
1/4/2015,16.95
1/5/2015,-9.39
1/6/2015,-11.58
1/7/2015,-8.26
1/8/2015,10.79
1/9/2015,-8.03
1/10/2015,12.50
1/11/2015,8.95
1/12/2015,-1.65
1/13/2015,41.53
1/14/2015,45.79
1/15/2015,-32.94
1/16/2015,0.97
1/17/2015,8.57
1/18/2015,-10.29
1/19/2015,-3.39
1/20/2015,1.59
1/21/2015,-15.52
1/22/2015,-6.09
1/23/2015,0.64
1/24/2015,-15.15
1/25/2015,-6.37
1/26/2015,-19.39
1/27/2015,9.69
1/28/2015,29.44
1/29/2015,-0.16
1/30/2015,6.34
1/31/2015,8.98
2/1/2015,-10.10
2/2/2015,-11.74
2/3/2015,10.18
2/4/2015,0.66
2/5/2015,10.55
2/6/2015,-5.35
2/7/2015,-5.12
2/8/2015,4.28
2/9/2015,3.28
2/10/2015,0.44
2/11/2015,0.55
2/12/2015,-2.55
2/13/2015,-13.46
2/14/2015,-21.79
2/15/2015,22.69
2/16/2015,0.98
2/17/2015,-10.19
2/18/2015,7.45
2/19/2015,-3.87
2/20/2015,-3.53
2/21/2015,-0.78
2/22/2015,8.56
2/23/2015,-2.90
2/24/2015,0.26
2/25/2015,1.42
2/26/2015,0.91
2/27/2015,-17.39
2/28/2015,-0.74
3/1/2015,-5.92
3/2/2015,-15.31
3/3/2015,-6.65
3/4/2015,8.90
3/5/2015,-3.44
3/6/2015,2.88
3/7/2015,-3.97
3/8/2015,2.08
3/9/2015,-14.80
3/10/2015,-1.90
3/11/2015,-4.86
3/12/2015,1.78
3/13/2015,8.78
3/14/2015,2.55
3/15/2015,-4.97
3/16/2015,-4.91
3/17/2015,5.09
3/18/2015,28.77
3/19/2015,-5.05
3/20/2015,-0.79
3/21/2015,1.62
3/22/2015,-8.04
3/23/2015,1.15
3/24/2015,20.98
3/25/2015,1.27
3/26/2015,-2.25
3/27/2015,1.54
3/28/2015,-5.82
3/29/2015,10.03
3/30/2015,-4.65
3/31/2015,3.23
4/1/2015,-3.05
4/2/2015,-5.92
4/3/2015,-1.25
4/4/2015,0.59
4/5/2015,-6.84
4/6/2015,5.23
4/7/2015,2.09
4/8/2015,8.04
4/9/2015,1.07
4/10/2015,7.62
4/11/2015,-0.53
4/12/2015,0.39
4/13/2015,11.36
4/14/2015,5.60
4/15/2015,-4.76
4/16/2015,-4.65
4/17/2015,5.69
4/18/2015,-0.51
4/19/2015,0.86
4/20/2015,-2.02
4/21/2015,-10.65
4/22/2015,1.42
4/23/2015,-2.41
4/24/2015,4.70
4/25/2015,4.85
4/26/2015,6.98
4/27/2015,-9.86
4/28/2015,3.12
4/29/2015,-0.22
4/30/2015,-10.46
5/1/2015,3.86
5/2/2015,-2.59
5/3/2015,-5.48
5/4/2015,1.34
5/5/2015,2.73
5/6/2015,6.47
5/7/2015,-7.67
5/8/2015,-6.66
5/9/2015,1.94
5/10/2015,1.43
5/11/2015,-1.86
5/12/2015,1.04
5/13/2015,5.02
5/14/2015,-0.72
5/15/2015,-0.64
5/16/2015,1.49
5/17/2015,-0.79
5/18/2015,3.76
5/19/2015,1.09
5/20/2015,-2.13
5/21/2015,-1.32
5/22/2015,-5.03
5/23/2015,1.42
5/24/2015,-1.97
5/25/2015,3.82
5/26/2015,-0.02
5/27/2015,-0.21
5/28/2015,-0.15
5/29/2015,0.28
5/30/2015,3.74
5/31/2015,2.94
6/1/2015,7.30
6/2/2015,-2.91
6/3/2015,-0.13
6/4/2015,1.45
6/5/2015,-0.80
6/6/2015,-0.61
6/7/2015,2.72
6/8/2015,-5.61
6/9/2015,-0.51
6/10/2015,0.19
6/11/2015,-0.86
6/12/2015,-0.27
6/13/2015,-2.48
6/14/2015,-1.10
6/15/2015,-3.40
6/16/2015,-14.14
6/17/2015,1.54
6/18/2015,0.42
6/19/2015,4.43
6/20/2015,-0.68
6/21/2015,1.16
6/22/2015,-3.02
6/23/2015,2.63
6/24/2015,3.77
6/25/2015,-2.43
6/26/2015,-0.99
6/27/2015,-7.44
6/28/2015,1.95
6/29/2015,-8.34
6/30/2015,-6.03
7/1/2015,4.73
7/2/2015,3.14
7/3/2015,-0.88
7/4/2015,-4.40
7/5/2015,-11.11
7/6/2015,2.08
7/7/2015,3.75
7/8/2015,-4.81
7/9/2015,1.60
7/10/2015,-15.73
7/11/2015,-8.23
7/12/2015,-17.73
7/13/2015,18.78
7/14/2015,4.57
7/15/2015,2.22
7/16/2015,7.95
7/17/2015,-1.38
7/18/2015,4.43
7/19/2015,1.16
7/20/2015,-5.48
7/21/2015,3.05
7/22/2015,-1.56
7/23/2015,1.29
7/24/2015,-12.27
7/25/2015,-0.54
7/26/2015,-4.05
7/27/2015,-0.98
7/28/2015,-0.80
7/29/2015,4.89
7/30/2015,1.38
7/31/2015,3.05
8/1/2015,3.09
8/2/2015,-2.16
8/3/2015,1.58
8/4/2015,-3.99
8/5/2015,2.97
8/6/2015,3.33
8/7/2015,-0.84
8/8/2015,18.74
8/9/2015,-3.96
8/10/2015,1.01
8/11/2015,-6.05
8/12/2015,4.22
8/13/2015,2.10
8/14/2015,-1.55
8/15/2015,3.98
8/16/2015,3.36
8/17/2015,0.51
8/18/2015,46.85
8/19/2015,-1.01
8/20/2015,-8.45
8/21/2015,2.78
8/22/2015,2.27
8/23/2015,2.21
8/24/2015,17.62
8/25/2015,-11.54
8/26/2015,-3.75
8/27/2015,1.28
8/28/2015,-6.70
8/29/2015,1.77
8/30/2015,1.14
8/31/2015,-0.95
9/1/2015,2.14
9/2/2015,-1.25
9/3/2015,2.14
9/4/2015,-3.09
9/5/2015,-4.82
9/6/2015,-4.97
9/7/2015,0.08
9/8/2015,-3.76
9/9/2015,5.24
9/10/2015,-0.14
9/11/2015,-1.78
9/12/2015,4.62
9/13/2015,4.73
9/14/2015,-0.03
9/15/2015,0.19
9/16/2015,1.16
9/17/2015,-0.73
9/18/2015,0.54
9/19/2015,1.37
9/20/2015,0.19
9/21/2015,4.13
9/22/2015,-3.65
9/23/2015,0.66
9/24/2015,-4.17
9/25/2015,-0.78
9/26/2015,0.74
9/27/2015,1.38
9/28/2015,-6.30
9/29/2015,2.33
9/30/2015,0.58
10/1/2015,-1.55
10/2/2015,-0.03
10/3/2015,-1.53
10/4/2015,0.27
10/5/2015,-2.23
10/6/2015,-5.70
10/7/2015,3.20
10/8/2015,0.77
10/9/2015,-1.43
10/10/2015,-1.20
10/11/2015,-2.31
10/12/2015,1.56
10/13/2015,-4.31
10/14/2015,-2.50
10/15/2015,-2.21
10/16/2015,-8.57
10/17/2015,-7.89
10/18/2015,9.27
10/19/2015,-1.58
10/20/2015,-5.89
10/21/2015,3.04
10/22/2015,-7.52
10/23/2015,-2.85
10/24/2015,-5.15
10/25/2015,-2.23
10/26/2015,-1.67
10/27/2015,-8.61
10/28/2015,-10.92
10/29/2015,-9.54
10/30/2015,-14.08
10/31/2015,14.34
11/1/2015,-10.42
11/2/2015,-35.25
11/3/2015,-41.55
11/4/2015,-7.90
11/5/2015,21.73
11/6/2015,13.58
11/7/2015,-12.21
11/8/2015,10.91
11/9/2015,-5.94
11/10/2015,43.16
11/11/2015,28.74
11/12/2015,-24.07
11/13/2015,1.75
11/14/2015,3.71
11/15/2015,12.88
11/16/2015,-11.02
11/17/2015,-4.73
11/18/2015,0.00
11/19/2015,8.53
11/20/2015,4.39
11/21/2015,-4.84
11/22/2015,2.44
11/23/2015,1.30
11/24/2015,2.96
11/25/2015,-8.16
11/26/2015,-24.38
11/27/2015,-6.18
11/28/2015,-0.24
11/29/2015,-13.82
11/30/2015,-5.88
12/1/2015,14.92
12/2/2015,2.66
12/3/2015,-1.72
12/4/2015,-1.92
12/5/2015,-25.23
12/6/2015,0.77
12/7/2015,-5.56
12/8/2015,-19.81
12/9/2015,-3.12
12/10/2015,2.51
12/11/2015,-36.66
12/12/2015,17.33
12/13/2015,-2.10
12/14/2015,-10.91
12/15/2015,-21.44
12/16/2015,10.28
12/17/2015,-1.30
12/18/2015,-7.77
12/19/2015,1.23
12/20/2015,19.55
12/21/2015,4.20
12/22/2015,0.87
12/23/2015,-5.68
12/24/2015,-11.89
12/25/2015,-0.79
12/26/2015,38.49
12/27/2015,-6.31
12/28/2015,1.06
12/29/2015,-10.88
12/30/2015,6.68
12/31/2015,-4.69
1/1/2016,-3.61
1/2/2016,1.18
1/3/2016,3.57
1/4/2016,-3.03
1/5/2016,1.11
1/6/2016,2.75
1/7/2016,-28.04
1/8/2016,4.31
1/9/2016,5.77
1/10/2016,0.25
1/11/2016,0.27
1/12/2016,12.49
1/13/2016,2.30
1/14/2016,1.98
1/15/2016,65.93
1/16/2016,-22.47
1/17/2016,4.85
