Date,Buy Open Sell Close - Profit
2022-11-14,19.70
2022-11-15,10.06
2022-11-16,-36.21
2022-11-17,-15.04
2022-11-18,11.50
2022-11-19,6.21
2022-11-20,-75.97
2022-11-21,-34.05
2022-11-22,27.27
2022-11-23,47.78
2022-11-24,20.63
2022-11-25,-4.87
2022-11-26,7.11
2022-11-27,-10.78
2022-11-28,-24.87
2022-11-29,47.03
2022-11-30,78.76
2022-12-01,-19.50
2022-12-02,17.97
2022-12-03,-51.13
2022-12-04,37.04
2022-12-05,-20.32
2022-12-06,11.80
2022-12-07,-39.11
2022-12-08,48.67
2022-12-09,-16.80
2022-12-10,2.00
2022-12-11,-2.55
2022-12-12,11.05
2022-12-13,45.89
2022-12-14,-11.36
2022-12-15,-42.84
2022-12-16,-98.20
2022-12-17,20.08
2022-12-18,-3.41
2022-12-19,-17.15
2022-12-20,49.82
2022-12-21,-3.99
2022-12-22,4.51
2022-12-23,2.08
2022-12-24,1.03
2022-12-25,-2.21
2022-12-26,8.05
2022-12-27,-14.20
2022-12-28,-22.75
2022-12-29,11.59
2022-12-30,-2.34
2022-12-31,-2.59
2023-01-01,4.25
2023-01-02,13.56
2023-01-03,0.04
2023-01-04,41.81
2023-01-05,-6.04
2023-01-06,18.92
2023-01-07,-5.15
2023-01-08,23.18
2023-01-09,34.09
2023-01-10,15.19
2023-01-11,51.44
2023-01-12,12.59
2023-01-13,33.66
2023-01-14,99.28
2023-01-15,1.75
2023-01-16,24.31
2023-01-17,-9.26
2023-01-18,-52.19
2023-01-19,37.31
2023-01-20,107.38
2023-01-21,-32.59
2023-01-22,1.01
2023-01-23,-0.30
2023-01-24,-71.25
2023-01-25,54.90
2023-01-26,-7.97
2023-01-27,-4.92
2023-01-28,-25.69
2023-01-29,73.53
2023-01-30,-78.82
2023-01-31,19.12
2023-02-01,55.30
2023-02-02,1.87
2023-02-03,21.85
2023-02-04,2.59
2023-02-05,-35.52
2023-02-06,-15.40
2023-02-07,55.99
2023-02-08,-21.19
2023-02-09,-104.64
2023-02-10,-31.73
2023-02-11,24.99
2023-02-12,-24.75
2023-02-13,-7.75
2023-02-14,49.89
2023-02-15,116.98
2023-02-16,-33.80
2023-02-17,54.50
2023-02-18,-2.92
2023-02-19,-10.24
2023-02-20,20.34
2023-02-21,-44.76
2023-02-22,-14.91
2023-02-23,7.77
2023-02-24,-42.53
2023-02-25,-13.75
2023-02-26,46.06
2023-02-27,-6.43
2023-02-28,-28.60
2023-03-01,57.39
